  0 TAO,  Function value: 9.14752,  Residual: 4.90297 
  0 TAO,  Function value: 9.14752,  Residual: 4.89515 
  0 TAO,  Function value: 9.14752,  Residual: 4.88485 
  0 TAO,  Function value: 9.14752,  Residual: 4.88203 
  0 TAO,  Function value: 9.14752,  Residual: 4.88167 
  0 TAO,  Function value: 9.14752,  Residual: 4.88103 
  0 TAO,  Function value: 9.14752,  Residual: 4.87636 
  0 TAO,  Function value: 9.14752,  Residual: 4.85235 
  0 TAO,  Function value: 9.14752,  Residual: 4.83338 
  0 TAO,  Function value: 9.14752,  Residual: 4.82835 
  0 TAO,  Function value: 9.14752,  Residual: 4.82645 
  0 TAO,  Function value: 9.14752,  Residual: 4.79613 
  0 TAO,  Function value: 9.14752,  Residual: 4.78695 
  0 TAO,  Function value: 9.14752,  Residual: 4.74239 
  0 TAO,  Function value: 9.14752,  Residual: 4.73848 
  0 TAO,  Function value: 9.14752,  Residual: 4.73439 
  0 TAO,  Function value: 9.14752,  Residual: 4.70901 
  0 TAO,  Function value: 9.14752,  Residual: 4.6977 
  0 TAO,  Function value: 9.14752,  Residual: 4.6698 
  0 TAO,  Function value: 9.14752,  Residual: 4.64694 
  0 TAO,  Function value: 9.14752,  Residual: 4.63304 
  0 TAO,  Function value: 9.14752,  Residual: 4.62972 
  0 TAO,  Function value: 9.14752,  Residual: 4.62454 
  0 TAO,  Function value: 9.14752,  Residual: 4.58262 
  0 TAO,  Function value: 9.14752,  Residual: 4.49302 
  0 TAO,  Function value: 9.14752,  Residual: 4.47367 
  0 TAO,  Function value: 9.14752,  Residual: 4.45769 
  0 TAO,  Function value: 9.14752,  Residual: 4.4448 
  0 TAO,  Function value: 9.14752,  Residual: 4.43991 
  0 TAO,  Function value: 9.14752,  Residual: 4.43483 
  0 TAO,  Function value: 9.14752,  Residual: 4.34518 
  0 TAO,  Function value: 9.14752,  Residual: 4.32449 
  0 TAO,  Function value: 9.14752,  Residual: 4.31133 
  0 TAO,  Function value: 9.14752,  Residual: 4.28454 
  0 TAO,  Function value: 9.14752,  Residual: 4.27026 
  0 TAO,  Function value: 9.14752,  Residual: 4.26034 
  0 TAO,  Function value: 9.14752,  Residual: 4.25492 
  0 TAO,  Function value: 9.14752,  Residual: 4.21763 
  0 TAO,  Function value: 9.14752,  Residual: 4.20812 
  0 TAO,  Function value: 9.14752,  Residual: 4.19752 
  0 TAO,  Function value: 9.14752,  Residual: 4.17544 
  0 TAO,  Function value: 9.14752,  Residual: 4.15964 
  0 TAO,  Function value: 9.14752,  Residual: 4.1503 
  0 TAO,  Function value: 9.14752,  Residual: 4.14325 
  0 TAO,  Function value: 9.14752,  Residual: 4.12397 
  0 TAO,  Function value: 9.14752,  Residual: 4.09919 
  0 TAO,  Function value: 9.14752,  Residual: 4.08727 
  0 TAO,  Function value: 9.14752,  Residual: 4.04089 
  0 TAO,  Function value: 9.14752,  Residual: 4.01614 
  0 TAO,  Function value: 9.14752,  Residual: 3.95947 
  0 TAO,  Function value: 9.14752,  Residual: 3.91936 
  0 TAO,  Function value: 9.14752,  Residual: 3.89825 
  0 TAO,  Function value: 9.14752,  Residual: 3.89792 
  0 TAO,  Function value: 9.14752,  Residual: 3.87951 
  0 TAO,  Function value: 9.14752,  Residual: 3.87265 
  0 TAO,  Function value: 9.14752,  Residual: 3.87111 
  0 TAO,  Function value: 9.14752,  Residual: 3.85928 
  0 TAO,  Function value: 9.14752,  Residual: 3.85411 
  0 TAO,  Function value: 9.14752,  Residual: 3.8531 
  0 TAO,  Function value: 9.14752,  Residual: 3.83508 
  0 TAO,  Function value: 9.14752,  Residual: 3.83483 
  0 TAO,  Function value: 9.14752,  Residual: 3.82144 
  0 TAO,  Function value: 9.14752,  Residual: 3.7964 
  0 TAO,  Function value: 9.14752,  Residual: 3.77186 
  0 TAO,  Function value: 9.14752,  Residual: 3.76895 
  0 TAO,  Function value: 9.14752,  Residual: 3.76452 
  0 TAO,  Function value: 9.14752,  Residual: 3.74196 
  0 TAO,  Function value: 9.14752,  Residual: 3.70979 
  0 TAO,  Function value: 9.14752,  Residual: 3.68561 
  0 TAO,  Function value: 9.14752,  Residual: 3.68085 
  0 TAO,  Function value: 9.14752,  Residual: 3.63356 
  0 TAO,  Function value: 9.14752,  Residual: 3.62484 
  0 TAO,  Function value: 9.14752,  Residual: 3.61973 
  0 TAO,  Function value: 9.14752,  Residual: 3.59728 
  0 TAO,  Function value: 9.14752,  Residual: 3.56982 
  0 TAO,  Function value: 9.14752,  Residual: 3.55752 
  0 TAO,  Function value: 9.14752,  Residual: 3.53001 
  0 TAO,  Function value: 9.14752,  Residual: 3.49254 
