  Residual norms for elas_ solve.
  0 KSP Residual norm 11.0657 
  1 KSP Residual norm 9.81787 
  2 KSP Residual norm 5.7298 
  3 KSP Residual norm 4.991 
  4 KSP Residual norm 4.80234 
  5 KSP Residual norm 4.76974 
  6 KSP Residual norm 3.06739 
  7 KSP Residual norm 1.01137 
  8 KSP Residual norm 0.477914 
  9 KSP Residual norm 0.406859 
 10 KSP Residual norm 0.385167 
 11 KSP Residual norm 0.375493 
 12 KSP Residual norm 0.368415 
 13 KSP Residual norm 0.290161 
 14 KSP Residual norm 0.0928142 
 15 KSP Residual norm 0.0296425 
 16 KSP Residual norm 0.00973832 
 17 KSP Residual norm 0.00515466 
 18 KSP Residual norm 0.00505423 
 19 KSP Residual norm 0.00503442 
 20 KSP Residual norm 0.00499522 
 21 KSP Residual norm 0.00496525 
 22 KSP Residual norm 0.00490667 
 23 KSP Residual norm 0.00409877 
 24 KSP Residual norm 0.00199605 
 25 KSP Residual norm 0.000756373 
 26 KSP Residual norm 0.000432149 
 27 KSP Residual norm 0.000428948 
 28 KSP Residual norm 0.00042172 
 29 KSP Residual norm 0.000406886 
 30 KSP Residual norm 0.000391538 
 31 KSP Residual norm 0.000385033 
 32 KSP Residual norm 0.000377996 
 33 KSP Residual norm 0.000377067 
 34 KSP Residual norm 0.000376911 
 35 KSP Residual norm 0.000376777 
 36 KSP Residual norm 0.000363795 
 37 KSP Residual norm 0.000286279 
 38 KSP Residual norm 0.00017599 
 39 KSP Residual norm 0.000121517 
 40 KSP Residual norm 0.000116167 
 41 KSP Residual norm 0.000114647 
 42 KSP Residual norm 0.000104974 
