  Residual norms for elas_ solve.
  0 KSP Residual norm 11.0657 
  1 KSP Residual norm 9.82448 
  2 KSP Residual norm 5.72 
  3 KSP Residual norm 4.9875 
  4 KSP Residual norm 4.80734 
  5 KSP Residual norm 4.77481 
  6 KSP Residual norm 2.99999 
  7 KSP Residual norm 0.647522 
  8 KSP Residual norm 0.435418 
  9 KSP Residual norm 0.40683 
 10 KSP Residual norm 0.375704 
 11 KSP Residual norm 0.367218 
 12 KSP Residual norm 0.324555 
 13 KSP Residual norm 0.169496 
 14 KSP Residual norm 0.0626851 
 15 KSP Residual norm 0.0177735 
 16 KSP Residual norm 0.00516671 
 17 KSP Residual norm 0.00497833 
 18 KSP Residual norm 0.00496462 
 19 KSP Residual norm 0.00495307 
 20 KSP Residual norm 0.00490987 
 21 KSP Residual norm 0.00406464 
 22 KSP Residual norm 0.00143166 
 23 KSP Residual norm 0.000331028 
 24 KSP Residual norm 0.000261577 
 25 KSP Residual norm 0.000244857 
 26 KSP Residual norm 0.00024382 
 27 KSP Residual norm 0.000234861 
 28 KSP Residual norm 0.000150362 
 29 KSP Residual norm 4.4272e-05 
