  Residual norms for elas_ solve.
  0 KSP Residual norm 14.5933 
  1 KSP Residual norm 3.17351 
  2 KSP Residual norm 1.80112 
  3 KSP Residual norm 0.956478 
  4 KSP Residual norm 0.769255 
  5 KSP Residual norm 0.472171 
  6 KSP Residual norm 0.310625 
  7 KSP Residual norm 0.156897 
  8 KSP Residual norm 0.107258 
  9 KSP Residual norm 0.0828635 
 10 KSP Residual norm 0.0641164 
 11 KSP Residual norm 0.0582209 
 12 KSP Residual norm 0.0498088 
 13 KSP Residual norm 0.0374655 
 14 KSP Residual norm 0.0294233 
 15 KSP Residual norm 0.0199933 
 16 KSP Residual norm 0.0153346 
 17 KSP Residual norm 0.0128219 
 18 KSP Residual norm 0.00971579 
 19 KSP Residual norm 0.00770772 
 20 KSP Residual norm 0.00616479 
 21 KSP Residual norm 0.0039644 
 22 KSP Residual norm 0.00274328 
 23 KSP Residual norm 0.00212024 
 24 KSP Residual norm 0.0018374 
 25 KSP Residual norm 0.00171071 
 26 KSP Residual norm 0.00160742 
 27 KSP Residual norm 0.00159028 
 28 KSP Residual norm 0.00147057 
 29 KSP Residual norm 0.000790694 
 30 KSP Residual norm 0.000203051 
 31 KSP Residual norm 0.000122616 
