  Residual norms for elas_ solve.
  0 KSP Residual norm 1.86112 
  1 KSP Residual norm 0.0374733 
  2 KSP Residual norm 0.0348124 
  3 KSP Residual norm 0.0335684 
  4 KSP Residual norm 0.0329643 
  5 KSP Residual norm 0.0310698 
  6 KSP Residual norm 0.0144307 
  7 KSP Residual norm 0.00933562 
  8 KSP Residual norm 0.00894835 
  9 KSP Residual norm 0.00891011 
 10 KSP Residual norm 0.00856667 
 11 KSP Residual norm 0.00673218 
 12 KSP Residual norm 0.00308017 
 13 KSP Residual norm 0.00262782 
 14 KSP Residual norm 0.00253251 
 15 KSP Residual norm 0.00252651 
 16 KSP Residual norm 0.00208709 
 17 KSP Residual norm 0.00187323 
 18 KSP Residual norm 0.00185707 
 19 KSP Residual norm 0.0018242 
 20 KSP Residual norm 0.00172381 
 21 KSP Residual norm 0.00136942 
 22 KSP Residual norm 0.00102876 
 23 KSP Residual norm 0.00102155 
 24 KSP Residual norm 0.00101139 
 25 KSP Residual norm 0.00094452 
 26 KSP Residual norm 0.000648584 
 27 KSP Residual norm 0.000366336 
 28 KSP Residual norm 0.000350713 
 29 KSP Residual norm 0.000345605 
 30 KSP Residual norm 0.000290812 
 31 KSP Residual norm 0.000251505 
 32 KSP Residual norm 0.000239617 
 33 KSP Residual norm 0.000238956 
 34 KSP Residual norm 0.000199598 
 35 KSP Residual norm 0.000127323 
 36 KSP Residual norm 0.000105863 
 37 KSP Residual norm 0.000102799 
 38 KSP Residual norm 0.00010024 
 39 KSP Residual norm 9.38531e-05 
 40 KSP Residual norm 7.37753e-05 
 41 KSP Residual norm 5.55156e-05 
 42 KSP Residual norm 5.39851e-05 
 43 KSP Residual norm 5.39266e-05 
 44 KSP Residual norm 5.15089e-05 
 45 KSP Residual norm 4.20415e-05 
 46 KSP Residual norm 4.01987e-05 
 47 KSP Residual norm 3.9612e-05 
 48 KSP Residual norm 3.78963e-05 
 49 KSP Residual norm 2.97805e-05 
 50 KSP Residual norm 2.33451e-05 
 51 KSP Residual norm 2.27441e-05 
 52 KSP Residual norm 2.20106e-05 
 53 KSP Residual norm 2.14473e-05 
 54 KSP Residual norm 1.67309e-05 
