  Iteration information for tao_brgn_subsolver_ solve.
 88 TAO,  Function value: 1.17082e-06,  Residual: 6.2655e-07 
 89 TAO,  Function value: 1.17057e-06,  Residual: 6.83169e-07 
 90 TAO,  Function value: 1.17023e-06,  Residual: 5.44522e-07 
 91 TAO,  Function value: 1.16999e-06,  Residual: 6.62402e-07 
 92 TAO,  Function value: 1.16971e-06,  Residual: 6.51548e-07 
 93 TAO,  Function value: 1.16954e-06,  Residual: 6.77409e-07 
 94 TAO,  Function value: 1.16921e-06,  Residual: 6.05809e-07 
 95 TAO,  Function value: 1.16903e-06,  Residual: 6.6828e-07 
 96 TAO,  Function value: 1.1689e-06,  Residual: 7.10495e-07 
 97 TAO,  Function value: 1.16851e-06,  Residual: 6.13877e-07 
 98 TAO,  Function value: 1.16832e-06,  Residual: 6.30575e-07 
 99 TAO,  Function value: 1.16814e-06,  Residual: 6.15573e-07 
100 TAO,  Function value: 1.16797e-06,  Residual: 7.20444e-07 
101 TAO,  Function value: 1.16779e-06,  Residual: 6.92699e-07 
102 TAO,  Function value: 1.16755e-06,  Residual: 6.20444e-07 
103 TAO,  Function value: 1.16735e-06,  Residual: 6.06978e-07 
104 TAO,  Function value: 1.16725e-06,  Residual: 7.38095e-07 
105 TAO,  Function value: 1.1671e-06,  Residual: 7.15008e-07 
106 TAO,  Function value: 1.16684e-06,  Residual: 6.03196e-07 
107 TAO,  Function value: 1.16665e-06,  Residual: 6.24727e-07 
108 TAO,  Function value: 1.16654e-06,  Residual: 7.10618e-07 
109 TAO,  Function value: 1.16634e-06,  Residual: 6.86113e-07 
110 TAO,  Function value: 1.1662e-06,  Residual: 6.46896e-07 
111 TAO,  Function value: 1.16607e-06,  Residual: 6.08348e-07 
112 TAO,  Function value: 1.16599e-06,  Residual: 7.38178e-07 
113 TAO,  Function value: 1.16583e-06,  Residual: 5.96175e-07 
114 TAO,  Function value: 1.1657e-06,  Residual: 6.14279e-07 
115 TAO,  Function value: 1.16562e-06,  Residual: 7.21418e-07 
116 TAO,  Function value: 1.16547e-06,  Residual: 6.41849e-07 
117 TAO,  Function value: 1.16535e-06,  Residual: 6.2299e-07 
118 TAO,  Function value: 1.16528e-06,  Residual: 7.08656e-07 
