/data/matrix/ecology2.mtx,n=999999,nnzR=4995991,petsc_norm=1.281519e-08, iterations=6944, total_time=1778.208700,
/data/matrix/cbuckle.mtx,n=13681,nnzR=676515,petsc_norm=1.392552e-05, iterations=4829, total_time=765.250600,
/data/matrix/thermomech_TK.mtx,n=102158,nnzR=711558,petsc_norm=3.195659e+02, iterations=10000, total_time=1587.219900,
/data/matrix/shallow_water1.mtx,n=81920,nnzR=327680,petsc_norm=1.276987e-08, iterations=18, total_time=2.554900,
/data/matrix/shallow_water2.mtx,n=81920,nnzR=327680,petsc_norm=8.505179e-09, iterations=34, total_time=4.814800,
/data/matrix/pdb1HYS.mtx,n=36417,nnzR=4344765,petsc_norm=1.697241e+02, iterations=10000, total_time=1727.914700,
/data/matrix/Hook_1498.mtx,n=1498023,nnzR=60917445,petsc_norm=1.731891e-06, iterations=8637, total_time=7263.694500,
/data/matrix/uni_chimera_i1.mtx,n=100000,nnzR=1100592,petsc_norm=3.162114e+02, iterations=9884, total_time=1645.287900,
/data/matrix/uni_chimera_i2.mtx,n=100000,nnzR=797974,petsc_norm=3.162168e+02, iterations=698, total_time=1582.447800,
/data/matrix/uni_chimera_i5.mtx,n=100000,nnzR=499982,petsc_norm=3.162206e+02, iterations=10000, total_time=1595.849700,
