  Residual norms for elas_ solve.
  0 KSP Residual norm 10.7619 
  1 KSP Residual norm 5.71532 
  2 KSP Residual norm 3.09206 
  3 KSP Residual norm 1.02781 
  4 KSP Residual norm 0.475675 
  5 KSP Residual norm 0.690888 
  6 KSP Residual norm 2.83379 
  7 KSP Residual norm 1.65995 
  8 KSP Residual norm 0.365873 
  9 KSP Residual norm 0.133115 
 10 KSP Residual norm 0.0688968 
 11 KSP Residual norm 0.049569 
 12 KSP Residual norm 0.0489033 
 13 KSP Residual norm 0.113571 
 14 KSP Residual norm 0.157905 
 15 KSP Residual norm 0.0546129 
 16 KSP Residual norm 0.011685 
 17 KSP Residual norm 0.00485885 
 18 KSP Residual norm 0.00176752 
 19 KSP Residual norm 0.000185901 
 20 KSP Residual norm 6.07259e-05 
