  Residual norms for elas_ solve.
  0 KSP Residual norm 10.7639 
  1 KSP Residual norm 5.71965 
  2 KSP Residual norm 3.0576 
  3 KSP Residual norm 0.979992 
  4 KSP Residual norm 0.464944 
  5 KSP Residual norm 0.779656 
  6 KSP Residual norm 2.30235 
  7 KSP Residual norm 0.471785 
  8 KSP Residual norm 0.193521 
  9 KSP Residual norm 0.110181 
 10 KSP Residual norm 0.0579582 
 11 KSP Residual norm 0.0433927 
 12 KSP Residual norm 0.147609 
 13 KSP Residual norm 0.169865 
 14 KSP Residual norm 0.0649277 
 15 KSP Residual norm 0.0162538 
 16 KSP Residual norm 0.00126629 
 17 KSP Residual norm 0.000702484 
 18 KSP Residual norm 0.000165036 
 19 KSP Residual norm 9.04151e-05 
