  Residual norms for elas_ solve.
  0 KSP Residual norm 11.0657 
  1 KSP Residual norm 9.82448 
  2 KSP Residual norm 5.72 
  3 KSP Residual norm 4.9875 
  4 KSP Residual norm 4.80734 
  5 KSP Residual norm 4.77481 
  6 KSP Residual norm 2.99999 
  7 KSP Residual norm 0.647522 
  8 KSP Residual norm 0.435418 
  9 KSP Residual norm 0.40683 
 10 KSP Residual norm 0.375704 
 11 KSP Residual norm 0.367218 
 12 KSP Residual norm 0.324555 
 13 KSP Residual norm 0.169496 
 14 KSP Residual norm 0.0626851 
 15 KSP Residual norm 0.0177735 
