  168 KSP Residual norm 0.000327949 
  169 KSP Residual norm 0.00031984 
  170 KSP Residual norm 0.000310169 
  171 KSP Residual norm 0.000301814 
  172 KSP Residual norm 0.000294444 
  173 KSP Residual norm 0.000288823 
  174 KSP Residual norm 0.000282713 
  175 KSP Residual norm 0.000276548 
  176 KSP Residual norm 0.000272137 
  177 KSP Residual norm 0.000269582 
  178 KSP Residual norm 0.000267597 
  179 KSP Residual norm 0.00026588 
  180 KSP Residual norm 0.000264473 
  181 KSP Residual norm 0.000263114 
  182 KSP Residual norm 0.000261632 
  183 KSP Residual norm 0.000259521 
  184 KSP Residual norm 0.000257347 
  185 KSP Residual norm 0.000255015 
  186 KSP Residual norm 0.000252798 
  187 KSP Residual norm 0.000250486 
  188 KSP Residual norm 0.000247606 
  189 KSP Residual norm 0.000244874 
  190 KSP Residual norm 0.000241001 
  191 KSP Residual norm 0.00023702 
  192 KSP Residual norm 0.000233248 
  193 KSP Residual norm 0.000229752 
  194 KSP Residual norm 0.000225642 
  195 KSP Residual norm 0.000220408 
  196 KSP Residual norm 0.000215187 
  197 KSP Residual norm 0.000210439 
  198 KSP Residual norm 0.000203903 
  199 KSP Residual norm 0.000196868 
  200 KSP Residual norm 0.00018951 
  201 KSP Residual norm 0.00018695 
  202 KSP Residual norm 0.000184528 
  203 KSP Residual norm 0.000182584 
  204 KSP Residual norm 0.000181059 
  205 KSP Residual norm 0.00018006 
  206 KSP Residual norm 0.000179 
  207 KSP Residual norm 0.000178304 
  208 KSP Residual norm 0.000177363 
  209 KSP Residual norm 0.00017645 
  210 KSP Residual norm 0.000175534 
  211 KSP Residual norm 0.000174778 
  212 KSP Residual norm 0.000174089 
  213 KSP Residual norm 0.000173494 
  214 KSP Residual norm 0.000172758 
  215 KSP Residual norm 0.000171869 
  216 KSP Residual norm 0.000170581 
  217 KSP Residual norm 0.000169249 
  218 KSP Residual norm 0.000168033 
  219 KSP Residual norm 0.000166874 
  220 KSP Residual norm 0.000165604 
  221 KSP Residual norm 0.000164075 
  222 KSP Residual norm 0.000162113 
  223 KSP Residual norm 0.000160449 
  224 KSP Residual norm 0.000158736 
  225 KSP Residual norm 0.00015677 
  226 KSP Residual norm 0.000155054 
  227 KSP Residual norm 0.000153673 
  228 KSP Residual norm 0.000152688 
  229 KSP Residual norm 0.000151642 
  230 KSP Residual norm 0.000150356 
  231 KSP Residual norm 0.000149194 
  232 KSP Residual norm 0.000147803 
  233 KSP Residual norm 0.000146294 
  234 KSP Residual norm 0.000144546 
  235 KSP Residual norm 0.00014225 
  236 KSP Residual norm 0.000139036 
  237 KSP Residual norm 0.000135418 
  238 KSP Residual norm 0.000131763 
  239 KSP Residual norm 0.0001295 
  240 KSP Residual norm 0.000127768 
  241 KSP Residual norm 0.000126484 
  242 KSP Residual norm 0.000125327 
  243 KSP Residual norm 0.000124451 
  244 KSP Residual norm 0.000123706 
  245 KSP Residual norm 0.000122814 
  246 KSP Residual norm 0.0001219 
  247 KSP Residual norm 0.000120807 
  248 KSP Residual norm 0.000119749 
  249 KSP Residual norm 0.000118576 
  250 KSP Residual norm 0.0001172 
  251 KSP Residual norm 0.000115869 
  252 KSP Residual norm 0.000114224 
  253 KSP Residual norm 0.000111798 
  254 KSP Residual norm 0.000108632 
  255 KSP Residual norm 0.000106075 
  256 KSP Residual norm 0.000104367 
  257 KSP Residual norm 0.000102426 
  258 KSP Residual norm 0.000100381 
  259 KSP Residual norm 9.82841e-05 
  260 KSP Residual norm 9.6313e-05 
  261 KSP Residual norm 9.48269e-05 
  262 KSP Residual norm 9.36572e-05 
  263 KSP Residual norm 9.23687e-05 
  264 KSP Residual norm 9.06427e-05 
  265 KSP Residual norm 8.90149e-05 
  266 KSP Residual norm 8.72946e-05 
  267 KSP Residual norm 8.51579e-05 
  268 KSP Residual norm 8.25388e-05 
  269 KSP Residual norm 7.9221e-05 
  270 KSP Residual norm 7.55689e-05 
  271 KSP Residual norm 7.22844e-05 
  272 KSP Residual norm 6.92719e-05 
  273 KSP Residual norm 6.6193e-05 
  274 KSP Residual norm 6.30719e-05 
  275 KSP Residual norm 6.0199e-05 
  276 KSP Residual norm 5.7182e-05 
  277 KSP Residual norm 5.45808e-05 
  278 KSP Residual norm 5.27798e-05 
  279 KSP Residual norm 5.14113e-05 
  280 KSP Residual norm 5.03839e-05 
  281 KSP Residual norm 4.95772e-05 
  282 KSP Residual norm 4.85307e-05 
  283 KSP Residual norm 4.71205e-05 
  284 KSP Residual norm 4.55888e-05 
  285 KSP Residual norm 4.414e-05 
  286 KSP Residual norm 4.25446e-05 
  287 KSP Residual norm 4.12932e-05 
  288 KSP Residual norm 4.01465e-05 
  289 KSP Residual norm 3.9168e-05 
  290 KSP Residual norm 3.80473e-05 
  291 KSP Residual norm 3.65349e-05 
  292 KSP Residual norm 3.47773e-05 
  293 KSP Residual norm 3.34084e-05 
  294 KSP Residual norm 3.20649e-05 
  295 KSP Residual norm 3.07713e-05 
  296 KSP Residual norm 2.94e-05 
  297 KSP Residual norm 2.81634e-05 
  298 KSP Residual norm 2.69887e-05 
  299 KSP Residual norm 2.61168e-05 
  300 KSP Residual norm 2.53352e-05 
  301 KSP Residual norm 2.48734e-05 
  302 KSP Residual norm 2.44453e-05 
  303 KSP Residual norm 2.39853e-05 
  304 KSP Residual norm 2.34701e-05 
  305 KSP Residual norm 2.30943e-05 
  306 KSP Residual norm 2.27761e-05 
  307 KSP Residual norm 2.24642e-05 
  308 KSP Residual norm 2.19811e-05 
  309 KSP Residual norm 2.1414e-05 
  310 KSP Residual norm 2.09941e-05 
  311 KSP Residual norm 2.06615e-05 
  312 KSP Residual norm 2.02675e-05 
  313 KSP Residual norm 1.97445e-05 
  314 KSP Residual norm 1.92013e-05 
  315 KSP Residual norm 1.87162e-05 
  316 KSP Residual norm 1.82437e-05 
  317 KSP Residual norm 1.76086e-05 
