  691 KSP Residual norm 1.68116e-08 
  692 KSP Residual norm 1.64576e-08 
  693 KSP Residual norm 1.61197e-08 
  694 KSP Residual norm 1.57534e-08 
  695 KSP Residual norm 1.52642e-08 
  696 KSP Residual norm 1.46838e-08 
  697 KSP Residual norm 1.39677e-08 
  698 KSP Residual norm 1.33351e-08 
  699 KSP Residual norm 1.29379e-08 
  700 KSP Residual norm 1.25659e-08 
  701 KSP Residual norm 1.23707e-08 
  702 KSP Residual norm 1.22525e-08 
  703 KSP Residual norm 1.2159e-08 
  704 KSP Residual norm 1.20869e-08 
  705 KSP Residual norm 1.20396e-08 
  706 KSP Residual norm 1.19684e-08 
  707 KSP Residual norm 1.1894e-08 
  708 KSP Residual norm 1.17973e-08 
  709 KSP Residual norm 1.16856e-08 
  710 KSP Residual norm 1.15318e-08 
  711 KSP Residual norm 1.13571e-08 
  712 KSP Residual norm 1.11837e-08 
  713 KSP Residual norm 1.1021e-08 
  714 KSP Residual norm 1.08639e-08 
  715 KSP Residual norm 1.0625e-08 
  716 KSP Residual norm 1.03078e-08 
  717 KSP Residual norm 1.00305e-08 
  718 KSP Residual norm 9.77989e-09 
  719 KSP Residual norm 9.5596e-09 
  720 KSP Residual norm 9.3499e-09 
  721 KSP Residual norm 9.15395e-09 
  722 KSP Residual norm 8.95469e-09 
  723 KSP Residual norm 8.78108e-09 
  724 KSP Residual norm 8.64129e-09 
  725 KSP Residual norm 8.51945e-09 
  726 KSP Residual norm 8.42789e-09 
  727 KSP Residual norm 8.34671e-09 
  728 KSP Residual norm 8.24371e-09 
  729 KSP Residual norm 8.15314e-09 
  730 KSP Residual norm 8.08108e-09 
  731 KSP Residual norm 8.0067e-09 
  732 KSP Residual norm 7.9165e-09 
  733 KSP Residual norm 7.81322e-09 
  734 KSP Residual norm 7.63679e-09 
  735 KSP Residual norm 7.36855e-09 
  736 KSP Residual norm 7.09311e-09 
  737 KSP Residual norm 6.79314e-09 
  738 KSP Residual norm 6.51827e-09 
  739 KSP Residual norm 6.28215e-09 
  740 KSP Residual norm 6.02987e-09 
  741 KSP Residual norm 5.88472e-09 
  742 KSP Residual norm 5.7561e-09 
  743 KSP Residual norm 5.68483e-09 
  744 KSP Residual norm 5.61914e-09 
  745 KSP Residual norm 5.56628e-09 
  746 KSP Residual norm 5.52889e-09 
  747 KSP Residual norm 5.50385e-09 
  748 KSP Residual norm 5.48528e-09 
  749 KSP Residual norm 5.46994e-09 
  750 KSP Residual norm 5.45511e-09 
  751 KSP Residual norm 5.43458e-09 
  752 KSP Residual norm 5.4e-09 
  753 KSP Residual norm 5.33647e-09 
  754 KSP Residual norm 5.2142e-09 
  1 SNES Function norm 8.36483e-09 
Nonlinear solve converged due to CONVERGED_FNORM_RELATIVE iterations 1
SNES Object: 1 MPI processes
  type: ls
  maximum iterations=50, maximum function evaluations=10000
  tolerances: relative=1e-08, absolute=1e-50, solution=1e-08
  total number of linear solver iterations=754
  total number of function evaluations=2
  KSP Object:   1 MPI processes
    type: gmres
      GMRES: restart=100, using Classical (unmodified) Gram-Schmidt Orthogonalization with no iterative refinement
      GMRES: happy breakdown tolerance 1e-30
    maximum iterations=10000, initial guess is zero
    tolerances:  relative=1e-09, absolute=1e-50, divergence=10000
    left preconditioning
    has attached null space
    using PRECONDITIONED norm type for convergence test
  PC Object:   1 MPI processes
    type: jacobi
    linear system matrix = precond matrix:
    Matrix Object:     1 MPI processes
      type: seqaij
      rows=1107, cols=1107
      total: nonzeros=29785, allocated nonzeros=29785
      total number of mallocs used during MatSetValues calls =0
        using I-node routines: found 513 nodes, limit used is 5
  SNESLineSearch Object:   1 MPI processes
    type: bt
      interpolation: cubic
      alpha=1.000000e-04
    maxstep=1.000000e+08, minlambda=1.000000e-12
    tolerances: relative=1.000000e-08, absolute=1.000000e-15, lambda=1.000000e-08
    maximum iterations=40
Number of SNES iterations = 1
L_2 Error: 4.78e-07
